CustomerID,Recency,Frequency,Monetary,r_seg,f_seg,m_seg,RFMScore
16191,2,13,5180.52,1,1,1,111
12621,1,20,13689.67,1,1,1,111
17655,10,7,2638.94,1,1,1,111
17706,4,17,10504.49,1,1,1,111
14156,9,55,117379.63,1,1,1,111
13668,2,21,6363.59,1,1,1,111
17629,5,8,1814.12,1,1,1,111
13230,4,14,2806.97,1,1,1,111
16401,1,12,4098.32,1,1,1,111
16923,12,19,7247.61,1,1,1,111
15078,7,32,9743.11,1,1,1,111
15152,9,13,4745.69,1,1,1,111
17419,11,12,4226.57,1,1,1,111
14607,15,14,16569.5,1,1,1,111
15382,14,6,5955.71,1,1,1,111
15547,7,14,4954.84,1,1,1,111
18044,4,10,2088.6,1,1,1,111
15089,10,6,2420.84,1,1,1,111
15903,9,7,5126.76,1,1,1,111
12627,10,7,4478.53,1,1,1,111
15856,4,27,16387.57,1,1,1,111
12957,9,8,4017.54,1,1,1,111
17381,8,29,20275.61,1,1,1,111
13755,3,9,2161.35,1,1,1,111
17428,0,28,17256.85,1,1,1,111
16057,16,7,2263.12,1,1,1,111
13994,3,6,2313.14,1,1,1,111
15005,15,28,6316.57,1,1,1,111
17576,8,19,3622.68,1,1,1,111
17725,16,11,3439.08,1,1,1,111
13784,9,11,2462.79,1,1,1,111
17346,3,15,2676.56,1,1,1,111
14408,10,7,2606.53,1,1,1,111
13881,3,20,17159.52,1,1,1,111
16327,14,6,3844.22,1,1,1,111
14796,1,17,8022.49,1,1,1,111
16775,10,11,1695.66,1,1,1,111
14415,1,13,5900.28,1,1,1,111
13319,5,26,10845.55,1,1,1,111
12955,1,11,4757.16,1,1,1,111
18102,0,60,259657.3,1,1,1,111
14282,3,15,3729.34,1,1,1,111
17757,1,30,5605.29,1,1,1,111
15796,1,8,2711.56,1,1,1,111
12757,15,13,7857.1,1,1,1,111
17949,1,45,58510.48,1,1,1,111
17365,12,8,4801.56,1,1,1,111
14051,0,23,15610.39,1,1,1,111
14733,16,12,9585.91,1,1,1,111
16701,8,13,5398.3,1,1,1,111
16265,9,9,5447,1,1,1,111
15498,2,27,13316.4,1,1,1,111
15214,1,8,1661.44,1,1,1,111
16839,8,34,16594.35,1,1,1,111
16814,14,21,6509.1,1,1,1,111
17705,3,9,1823.52,1,1,1,111
14056,1,23,8214.65,1,1,1,111
15311,0,91,60767.9,1,1,1,111
17686,7,7,5739.46,1,1,1,111
15570,7,12,4165.52,1,1,1,111
14367,8,16,9261.52,1,1,1,111
17530,1,10,2385,1,1,1,111
14739,4,7,3902.28,1,1,1,111
17086,7,6,2050.08,1,1,1,111
13599,1,21,5153.67,1,1,1,111
17861,3,8,2100.8,1,1,1,111
15061,3,48,54534.14,1,1,1,111
15046,9,15,5213.77,1,1,1,111
17133,15,7,4892.24,1,1,1,111
13704,5,9,2308.06,1,1,1,111
12921,9,37,16587.09,1,1,1,111
